"ID","Reservatorio","Municipio","Bacia","Status","Problemas","Alertas","Data_inicio_niveis","Data_fim_niveis","Registros_niveis","Datas_duplicadas_niveis","Cotas_ausentes","Tem_retiradas","Tem_precipitacao","Tem_CAV","Tem_vertedor","Tem_evaporacao","Tem_comporta","Tem_transferencia","Arquivo","Tamanho_bytes"
171,"Jenipapeiro","Dep. Irapuan Pinheiro","4","pronto","","114 data(s) duplicada(s) nos niveis",1999-04-01,2026-04-23,9015,114,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0171.rds",151973
1120,"Jenipapeiro II","Baixio","2","pronto","","",2012-02-01,2026-04-23,5187,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_1120.rds",109730
213,"Jenipapo","Meruoca","6","pronto","","",2014-02-26,2026-04-23,4438,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0213.rds",105870
121,"Jerimum","Irauçuba","8","pronto","","36 data(s) duplicada(s) nos niveis",1996-07-01,2026-04-23,9846,36,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0121.rds",167138
147,"João Luís","Araripe","1","pronto","","",2014-03-01,2026-04-23,4435,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0147.rds",111548
28,"Joaquim Távora","Jaguaribe","4","pronto","","294 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,12804,294,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0028.rds",173110
189,"Junco","Granjeiro","2","pronto","","",2010-03-17,2025-08-21,5108,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0189.rds",101643
63,"Lima Campos","Icó","2","pronto","","377 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,15074,377,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"reservatorios/reservatorio_0063.rds",198022
199,"Macacos","Ibaretama","10","pronto","","368 data(s) duplicada(s) nos niveis",2008-04-01,2026-04-23,6956,368,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0199.rds",130072
164,"Madeiro","Pereiro","4","pronto","","",1999-03-28,2025-09-08,7220,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0164.rds",128254
235,"Malcozinhado","Cascavel","10","pronto","","264 data(s) duplicada(s) nos niveis",2003-01-21,2026-04-23,8683,264,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0235.rds",148426
201,"Mamoeiro","Antonina do Norte","1","pronto","","",2013-04-01,2026-04-23,4719,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0201.rds",108597
8,"Manoel Balbino","Juazeiro do Norte","2","pronto","","377 data(s) duplicada(s) nos niveis",1988-01-01,2026-04-23,14013,377,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0008.rds",191113
1124,"Maranguapinho","Maranguape","10","pronto","","",2015-06-08,2026-04-23,3971,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_1124.rds",110720
126,"Martinópole","Martinópole","7","pronto","","72 data(s) duplicada(s) nos niveis",1997-10-01,2026-04-23,8814,72,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0126.rds",151187
1119,"Missi","Miraíma","11","pronto","","1 data(s) duplicada(s) nos niveis",2012-01-03,2026-04-23,5225,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_1119.rds",117906
161,"Mons. Tabosa","Mons. Tabosa","3","pronto","","70 data(s) duplicada(s) nos niveis",1999-05-26,2026-04-23,9252,70,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0161.rds",147116
206,"Monte Belo","Araripe","1","pronto","","",2014-01-01,2025-09-08,4224,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0206.rds",92089
61,"Mundaú","Uruburetama","11","pronto","","100 data(s) duplicada(s) nos niveis",1990-01-01,2026-04-23,12944,100,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0061.rds",199610
168,"Muquém","Cariús","1","pronto","","44 data(s) duplicada(s) nos niveis",2001-03-16,2026-04-23,8958,44,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0168.rds",154127
26,"Nova Floresta","Jaguaribe","4","pronto","","396 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,14884,396,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0026.rds",176894
155,"Olho d'Água","Várzea Alegre","2","pronto","","93 data(s) duplicada(s) nos niveis",1999-03-27,2026-04-23,9700,93,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0155.rds",158658
9,"Orós","Orós","1","pronto","","365 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,14916,365,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"reservatorios/reservatorio_0009.rds",215738
80,"Pacajus","Pacajus","10","pronto","","371 data(s) duplicada(s) nos niveis",1992-04-01,2026-04-23,11643,371,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0080.rds",180265
88,"Pacoti","Horizonte","10","pronto","","368 data(s) duplicada(s) nos niveis",1992-10-01,2026-04-23,11098,368,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0088.rds",186861
89,"Parambu","Parambu","1","pronto","","120 data(s) duplicada(s) nos niveis",1993-06-26,2026-04-23,10030,120,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0089.rds",148892
56,"Patos","Sobral","11","pronto","","348 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,13828,348,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0056.rds",179198
10,"Patu","Senador Pompeu","3","pronto","","375 data(s) duplicada(s) nos niveis",1989-01-01,2026-04-23,13853,375,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0010.rds",196174
148,"Pau Preto","Potengi","1","pronto","","234 data(s) duplicada(s) nos niveis",2004-01-28,2026-04-23,7565,234,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0148.rds",132303
11,"Pedras Brancas","Quixadá","3","pronto","","428 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,15000,428,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0011.rds",194277
179,"Penedo","Maranguape","10","pronto","","28 data(s) duplicada(s) nos niveis",2001-03-19,2026-04-23,8005,28,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0179.rds",154205
