2016a202Edson   Queiroz Braco          1,       EngRev,     0.87
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     758    0.32      90       8
     759    0.64      90       8
     760    2.09      90       8
     761    2.08      90       8
     762    2.08      90       8
     763    0.00      90       8
     764    0.00      90       8
     765    0.00      90       8
     766    0.00      90       8
     767    0.00      90       8
     768    0.00      90       8
     769    0.51      90       8
     770    0.94      90       8
     771    0.00      90       8
     772    0.00      90       8
     773    0.94      90       8
     774    0.51      90       8
     775    0.51      90       8
     776    0.29      90       8
     777    0.94      90       8
     778    0.94      90       8
     779    0.00      90       8
     780    0.31      90       8
     781    0.51      90       8
     782    0.93      90       8
     783    0.93      90       8
     784    0.34      90       8
     785    0.33      90       8
     786    0.38      90       8
     787    0.91      90       8
     788    0.49      90       8
     789    0.00      90       8
     790    0.00      90       8
     791    1.06      90       8
     792    1.06      90       8
     793    1.06      90       8
     794    1.06      90       8
     795    0.00      90       8
     796    1.06      90       8
     797    0.00      90       8
     798    1.06      90       8
     799    0.00      90       8
     800    1.06      90       8
     801    0.00      90       8
     802    0.39      90       8
     803    0.00      90       8
     804    1.06      90       8
     805    1.06      90       8
     806    1.06      90       8
     807    0.00      90       8
     808    0.33      90       8
     809    1.06      90       8
     810    0.00      90       8
     811    1.06      90       8
     812    0.00      90       8
     813    1.06      90       8
     814    0.00      90       8
     815    0.00      90       8
     816    0.39      90       8
     817    1.06      90       8
     818    1.06      90       8
     819    1.06      90       8
     820    0.52      90       8
     821    1.06      90       8
     822    0.39      90       8
     823    1.04      90       8
     824    0.00      90       8
     825    0.27      90       8
     826    0.30      90       8
     827    0.28      90       8
     828    0.33      90       8
     829    0.29      90       8
     830    0.28      90       8
     831    0.39      90       8
     832    0.70      90       8
     833    0.33      90       8
     834    0.27      90       8
     835    0.28      90       8
     836    0.28      90       8
     837    0.38      90       8
     838    0.40      90       8
     839    0.28      90       8
     840    0.28      90       8
     841    0.33      90       8
     842    0.33      90       8
     843    0.43      90       8
     844    0.43      90       8
     845    0.33      90       8
     846    0.92      90       8
     847    0.43      90       8
     848    0.92      90       8
     849    0.00      90       8
     850    0.92      90       8
     851    0.92      90       8
     852    0.93      90       8
     853    0.43      90       8
     854    0.93      90       8
     855    0.93      90       8
     856    0.93      90       8
     857    0.00      90       8
     858    0.93      90       8
     859    0.93      90       8
     860    0.33      90       8
     861    0.93      90       8
     862    0.93      90       8
     863    0.00      90       8
     864    0.93      90       8
     865    0.93      90       8
     866    0.00      90       8
     867    0.93      90       8
     868    0.00      90       8
     869    0.00      90       8
     870    0.93      90       8
     871    0.00      90       8
     872    0.93      90       8
     873    0.00      90       8
     874    0.93      90       8
     875    0.00      90       8
     876    0.93      90       8
     877    0.00      90       8
     878    0.00      90       8
     879    0.93      90       8
     880    0.00      90       8
     881    0.00      90       8
     882    0.00      90       8
     883    0.87      90       8
     884    0.00      90       8
     885    0.87      90       8
     886    0.00      90       8
     887    0.00      90       8
     888    0.87      90       8
     889    0.00      90       8
     890    0.00      90       8
     891    0.87      90       8
     892    0.00      90       8
     893    0.87      90       8
     894    0.00      90       8
     895    0.00      90       8
     896    0.87      90       8
     897    0.00      90       8
     898    0.00      90       8
     899    0.87      90       8
     900    0.00      90       8
     901    0.00      90       8
     902    0.00      90       8
     903    2.67      90       8
     904    2.66      90       8
     905    2.66      90       8
     906    2.64      90       8
     907    2.63      90       8
     908    2.63      90       8
     909    2.62      90       8
     910    0.00      90       8
     911    2.59      90       8
     912    2.58      90       8
     913    0.00      90       8
     914    0.49      90       8
     915    0.00      90       8
     916    0.00      90       8
     917    0.00      90       8
     918    0.00      90       8
     919    0.00      90       8
     920    0.00      90       8
     921    0.00      90       8
     922    0.00      90       8
     923    0.00      90       8
     924    0.00      90       8
     925    0.00      90       8
     926    0.00      90       8
     927    0.00      90       8
     928    0.00      90       8
     929    0.00      90       8
     930    0.00      90       8
     931    0.00      90       8
     932    0.00      90       8
     933    0.00      90       8
     934    0.00      90       8
     935    0.00      90       8
     936    0.00      90       8
     937    0.00      90       8
     938    0.00      90       8
     939    0.00      90       8
     940    0.00      90       8
     941    0.00      90       8
     942    0.00      90       8
     943    0.00      90       8
     944    0.00      90       8
     945    0.00      90       8
     946    0.00      90       8
     947    0.00      90       8
     948    0.00      90       8
     949    0.00      90       8
     950    0.00      90       8
     951    0.00      90       8
     952    0.00      90       8
     953    0.00      90       8
     954    0.00      90       8
     955    0.00      90       8
     956    0.00      90       8
     957    0.00      90       8
     958    0.66      90       8
     959    1.92      90       8
     960    1.91      90       8
     961    1.91      90       8
     962    1.91      90       8
     963    0.00      90       8
     964    1.91      90       8
     965    1.90      90       8
     966    0.00      90       8
     967    1.89      90       8
     968    1.89      90       8
     969    0.00      90       8
     970    0.00      90       8
     971    0.00      90       8
     972    0.66      90       8
     973    0.00      90       8
     974    0.00      90       8
     975    1.04      90       8
     976    1.04      90       8
     977    1.04      90       8
     978    1.04      90       8
     979    1.04      90       8
     980    0.00      90       8
     981    1.04      90       8
     982    1.04      90       8
     983    1.04      90       8
     984    1.04      90       8
     985    0.00      90       8
     986    1.04      90       8
     987    0.00      90       8
     988    0.86      90       8
     989    0.86      90       8
     990    0.86      90       8
     991    0.00      90       8
     992    0.86      90       8
     993    0.00      90       8
     994    0.86      90       8
     995    0.00      90       8
     996    0.86      90       8
     997    0.86      90       8
     998    0.86      90       8
     999    0.00      90       8
    1000    0.86      90       8
    1001    0.86      90       8
    1002    0.00      90       8
    1003    1.07      90       8
    1004    1.07      90       8
    1005    0.00      90       8
    1006    1.05      90       8
    1007    0.00      90       8
    1008    1.05      90       8
    1009    0.00      90       8
    1010    1.05      90       8
    1011    0.00      90       8
    1012    1.05      90       8
    1013    1.05      90       8
    1014    0.00      90       8
    1015    1.05      90       8
    1016    0.00      90       8
    1017    0.95      90       8
    1018    0.00      90       8
