2016a   2021EdsoQueiroz Braco          2,       EngRev,     0.13
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     988    4.46       1       5
     989    4.46       1       5
     990    4.46       1       5
     991    0.00       1       5
     992    4.46       1       5
     993    0.00       1       5
     994    4.46       1       5
     995    0.00       1       5
     996    4.43       1       5
     997    4.43       1       5
     998    4.43       1       5
     999    0.00       1       5
    1000    4.43       1       5
    1001    4.43       1       5
    1002    0.00       1       5
    1003    5.67       1       5
    1004    5.67       1       5
    1005    0.00       1       5
    1006    5.55       1       5
    1007    0.00       1       5
    1008    5.55       1       5
    1009    0.00       1       5
    1010    5.55       1       5
    1011    0.00       1       5
    1012    5.55       1       5
    1013    5.55       1       5
    1014    0.00       1       5
    1015    5.55       1       5
    1016    0.00       1       5
    1017    4.94       1       5
    1018    0.00       1       5
    1019    2.13       1       5
    1020    4.94       1       5
    1021    4.94       1       5
    1022    0.00       1       5
    1023    4.94       1       5
    1024    0.00       1       5
    1025    4.94       1       5
    1026    4.94       1       5
    1027    4.94       1       5
    1028    4.94       1       5
    1029    0.00       1       5
    1030    4.94       1       5
    1031    4.94       1       5
    1032    0.00       1       5
    1033    4.94       1       5
    1034    4.94       1       5
    1035    0.00       1       5
    1036    5.04       1       5
    1037    0.00       1       5
    1038    0.00       1       5
    1039    4.99       1       5
    1040    0.00       1       5
    1041    4.99       1       5
    1042    4.99       1       5
    1043    4.99       1       5
    1044    4.99       1       5
    1045    4.99       1       5
    1046    4.99       1       5
    1047    4.99       1       5
    1048    0.00       1       5
    1049    0.00       1       5
    1050    0.00       1       5
    1051    5.25       1       5
    1052    5.25       1       5
    1053    5.25       1       5
    1054    0.00       1       5
    1055    2.24       1       5
    1056    5.25       1       5
    1057    5.25       1       5
    1058    5.25       1       5
    1059    0.00       1       5
    1060    5.25       1       5
    1061    5.25       1       5
    1062    5.25       1       5
    1063    7.40       1       5
    1064    2.52       1       5
    1065    2.52       1       5
    1066    8.16       1       5
    1067    8.16       1       5
    1068    0.00       1       5
    1069    8.16       1       5
    1070    2.17       1       5
    1071    2.17       1       5
    1072    2.17       1       5
    1073    4.76       1       5
    1074    2.17       1       5
    1075    4.76       1       5
    1076    2.17       1       5
    1077    4.76       1       5
    1078    4.76       1       5
    1079    4.76       1       5
    1080    4.76       1       5
    1081    5.15       1       5
    1082    5.15       1       5
    1083    5.09       1       5
    1084    0.00       1       5
    1085    0.00       1       5
    1086    0.00       1       5
    1087    0.00       1       5
    1088    0.00       1       5
    1089    0.00       1       5
    1090    0.00       1       5
    1091    0.00       1       5
    1092    0.00       1       5
    1093    0.00       1       5
    1094    0.00       1       5
    1095    0.00       1       5
    1096    0.00       1       5
    1097    0.00       1       5
    1098    0.00       1       5
    1099    0.00       1       5
    1100    0.00       1       5
    1101    4.07       1       5
    1102    0.00       1       5
    1103    0.00       1       5
    1104    0.00       1       5
    1105    4.11       1       5
    1106    0.00       1       5
    1107    0.00       1       5
    1108    4.11       1       5
    1109    0.00       1       5
    1110    4.11       1       5
    1111    4.11       1       5
    1112    2.08       1       5
    1113    2.07       1       5
    1114    4.11       1       5
    1115    4.11       1       5
    1116    0.00       1       5
    1117    4.11       1       5
    1118    0.00       1       5
    1119    4.11       1       5
    1120    0.00       1       5
    1121    3.83       1       5
    1122    0.00       1       5
    1123    0.00       1       5
    1124    3.83       1       5
    1125    0.00       1       5
    1126    0.00       1       5
    1127    0.00       1       5
    1128    4.21       1       5
    1129    0.00       1       5
    1130    4.21       1       5
    1131    4.21       1       5
    1132    2.11       1       5
    1133    4.21       1       5
    1134    2.11       1       5
    1135    4.21       1       5
    1136    0.00       1       5
    1137    0.00       1       5
    1138    4.21       1       5
    1139    4.21       1       5
    1140    2.11       1       5
    1141    4.21       1       5
    1142    0.92       1       5
    1143    4.21       1       5
    1144    2.10       1       5
    1145    4.21       1       5
    1146    1.44       1       5
    1147    2.10       1       5
    1148    2.10       1       5
    1149    2.09       1       5
    1150    4.21       1       5
    1151    0.00       1       5
    1152    4.21       1       5
    1153    4.21       1       5
    1154    0.00       1       5
    1155    4.21       1       5
    1156    0.00       1       5
    1157    4.67       1       5
    1158    2.20       1       5
    1159    4.67       1       5
    1160    4.67       1       5
    1161    1.53       1       5
    1162    5.37       1       5
    1163    2.31       1       5
    1164    5.37       1       5
    1165    2.31       1       5
    1166    5.37       1       5
    1167    0.00       1       5
    1168    5.37       1       5
    1169    1.53       1       5
    1170    0.45       1       5
    1171    0.80       1       5
    1172    5.31       1       5
    1173    0.70       1       5
    1174    0.79       1       5
    1175    0.62       1       5
    1176    0.69       1       5
    1177    0.78       1       5
    1178    0.52       1       5
    1179    0.43       1       5
    1180    0.89       1       5
    1181    0.89       1       5
    1182    0.67       1       5
    1183    0.43       1       5
    1184    0.47       1       5
    1185    0.54       1       5
    1186    0.32       1       5
    1187    0.27       1       5
    1188    0.27       1       5
    1189    0.31       1       5
    1190    0.29       1       5
    1191    0.29       1       5
    1192    0.28       1       5
    1193    0.33       1       5
    1194    0.56       1       5
    1195    1.16       1       5
    1196    1.16       1       5
    1197    0.72       1       5
    1198    0.72       1       5
    1199    1.15       1       5
    1200    1.75       1       5
    1201    0.87       1       5
    1202    0.62       1       5
    1203    0.71       1       5
    1204    1.14       1       5
    1205    0.54       1       5
    1206    0.36       1       5
    1207    0.38       1       5
    1208    0.48       1       5
    1209    0.69       1       5
    1210    1.69       1       5
    1211    1.10       1       5
    1212    1.68       1       5
    1213    1.68       1       5
    1214    0.29       1       5
    1215    0.32       1       5
    1216    0.28       1       5
    1217    0.30       1       5
    1218    0.50       1       5
    1219    1.04       1       5
    1220    0.79       1       5
    1221    1.58       1       5
    1222    4.01       1       5
    1223    1.58       1       5
    1224    1.58       1       5
