2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
  382.00 7.1e-06 6.3e-11     7.9
  383.00 2.8e-06 2.6e-11     7.8
  384.00 2.1e-06 1.9e-11     7.9
  385.00 2.8e-07 8.6e-12       8
  386.00 1.1e-07 1.1e-12       8
  387.00 2.3e-07 2.3e-12     7.8
  388.00 4.9e-07 5.1e-12     7.9
  389.00 3.9e-07 3.6e-12       8
  390.00   6e-07 5.6e-12     7.8
  391.00 1.2e-06 1.2e-11       8
  392.00 7.5e-07 7.2e-12     7.9
  393.00 6.6e-07 6.3e-12       8
  394.00 5.1e-07 4.2e-12       8
  395.00 6.4e-07 5.4e-12     7.9
  396.00 1.2e-06 1.1e-11     7.9
  397.00 7.6e-07 6.6e-12     8.1
  398.00 2.8e-07 1.8e-12       8
  399.00 4.5e-07 2.9e-12     7.8
  400.00   1e-06 6.9e-12     7.8
  401.00 2.1e-06 1.5e-11     7.9
  402.00 3.7e-06 2.7e-11     7.8
  403.00 5.6e-06 4.4e-11     7.9
  404.00 1.7e-06 1.4e-11     7.8
  405.00 1.9e-06 1.6e-11       8
  406.00 6.5e-07 5.2e-12       8
  407.00 3.2e-07 1.9e-12       8
  408.00   0.017     3.4     5.3
  409.00 0.00017     0.1       8
  410.00 1.1e-07 4.9e-12       8
  411.00 2.1e-07 1.9e-13     8.1
  412.00 3.4e-07 3.1e-13       8
  413.00 6.5e-07 6.2e-13       8
  414.00 5.2e-07 5.1e-13       8
  415.00   0.011       4     5.1
  416.00  0.0022     1.3     8.3
  417.00  0.0052     2.2       6
  418.00 0.00039   0.045     8.1
  419.00 2.8e-05 0.00022       8
  420.00 3.3e-07 1.2e-13       8
  421.00 4.2e-07 1.5e-13       8
  422.00 0.00049     0.3     7.8
  423.00   4e-07 1.4e-12     8.1
  424.00 0.00085    0.46     7.9
  425.00  0.0035     1.9     6.5
  426.00   0.002     0.9     8.1
  427.00   0.014     4.5     4.3
  428.00   0.016     3.2     6.8
  429.00 6.9e-05  0.0014     8.1
  430.00 0.00044    0.11     7.8
  431.00  0.0029     1.3     6.6
